CustomersTargeted,Profit
432,-79928.77515492222
433,-80283.62137161566
434,-80638.99488166656
435,-80995.2232444516
436,-81353.41047466823
437,-81711.98550099196
438,-82070.98172227266
439,-82430.76501478114
440,-82790.7103760311
441,-83150.83267817821
442,-83513.17987249205
443,-83875.88769204378
444,-84239.73784450721
445,-84604.2403124277
446,-84968.96853397624
447,-85333.99163309047
448,-85700.08687896516
449,-86066.58868114534
450,-86433.1921864199
451,-86800.2816165962
452,-87167.58945081248
453,-87535.07735597734
454,-87902.76956979181
455,-88270.63445779108
456,-88639.07016588234
457,-89007.88883955634
458,-89377.00887765622
459,-89747.03382053443
460,-90117.80348730192
461,-90489.39129310931
462,-90861.61744117591
463,-91234.5752135635
464,-91607.746749788
465,-91981.82608016873
466,-92357.07791261721
467,-92733.08165642562
468,-93110.00492953656
469,-93487.5963239645
470,-93865.24080735503
471,-94243.32237970739
472,-94621.67013586582
473,-95000.36318916714
474,-95379.60660605383
475,-95759.52286147735
476,-96139.59378182051
477,-96521.17240160058
478,-96904.12022665274
479,-97287.66822513967
480,-97671.50146978624
481,-98056.45717622848
482,-98441.73650647275
483,-98827.06826686536
484,-99212.77948744032
485,-99598.84577288388
486,-99985.20479090682
487,-100371.66300852687
488,-100758.18643695077
489,-101146.04239742416
490,-101533.97021468077
491,-101922.09952542135
492,-102311.15895646493
493,-102702.21303138758
494,-103093.49584435917
495,-103485.1221103888
496,-103877.27495984826
497,-104271.07985310629
498,-104665.57489642983
499,-105060.74172597384
500,-105456.03390379062
501,-105851.50476441054
502,-106247.63265696682
503,-106644.34712589976
504,-107041.18126924259
505,-107438.11094812221
506,-107836.23025603972
507,-108234.69523925983
508,-108634.88142546079
509,-109035.15874072765
510,-109435.82472519355
511,-109836.49671746482
512,-110237.21423022194
513,-110638.86874359648
514,-111040.82270223298
515,-111443.22730324663
516,-111846.54597529734
517,-112249.9275853535
518,-112653.71251578418
519,-113058.35630450201
520,-113463.0166363883
521,-113867.7519525699
522,-114272.88966949709
523,-114678.32658879028
524,-115084.53035493675
525,-115491.08642960778
526,-115897.72934615328
527,-116305.1435015722
528,-116713.10374366022
529,-117121.19096939164
530,-117529.67001206685
531,-117938.8265715296
532,-118348.5221030041
533,-118758.5229016511
534,-119168.91182945333
535,-119579.61479045244
536,-119990.39722446758
537,-120401.49509710495
538,-120813.18609744708
539,-121225.33855419279
540,-121638.04462099887
541,-122051.14454997214
542,-122465.18039876566
543,-122879.33004317361
544,-123294.1790738853
545,-123709.03317287621
546,-124125.070725527
547,-124541.58899607146
548,-124958.20534106981
549,-125374.97089199559
550,-125792.44223900218
551,-126210.21311357185
552,-126629.00415319293
553,-127047.89486494238
554,-127467.0739902164
555,-127886.85744606052
556,-128306.87215065473
